timestamp_before, timestamp_After, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1487805173.14963,1487805173.15959,-0.080078,0.687988,0.037109,-2.441406,-1.647949,-2.075195
1487805173.15973,1487805173.16219,-0.064941,0.694336,0.008789,-2.990723,-1.953125,-2.13623
1487805173.16225,1487805173.16455,-0.069336,0.686523,0.044434,-1.281738,-1.403809,-2.380371
1487805173.16461,1487805173.16710,-0.088867,0.6875,-0.02832,-1.464844,-1.586914,-3.112793
1487805173.16716,1487805173.16950,-0.063477,0.696777,0.071777,-2.13623,-1.831055,-2.807617
1487805173.16956,1487805173.17185,-0.077637,0.708984,0.068359,-0.793457,-1.831055,-2.868652
1487805173.17191,1487805173.17420,-0.11084,0.697754,-0.045898,-1.281738,-1.647949,-3.295898
1487805173.17426,1487805173.17657,-0.104004,0.695312,-0.024414,-3.234863,-1.831055,-2.746582
1487805173.17663,1487805173.17937,-0.082031,0.677246,0.035156,-1.89209,-2.868652,-2.990723
1487805173.18005,1487805173.18235,-0.080078,0.695801,0.018066,-2.807617,-2.197266,-2.13623
1487805173.18241,1487805173.18470,-0.087402,0.669434,0.056152,-2.685547,-2.929688,-2.868652
1487805173.18476,1487805173.18711,-0.067383,0.669434,-0.116699,-2.868652,-2.441406,-2.563477
1487805173.18717,1487805173.18946,-0.102539,0.660645,0.083496,-2.13623,-1.647949,-2.441406
1487805173.18952,1487805173.19182,-0.052246,0.699219,0.040039,-1.586914,-1.708984,-2.502441
1487805173.19188,1487805173.19417,-0.104492,0.682617,-0.030762,-0.976562,-2.624512,-2.990723
1487805173.19423,1487805173.19658,-0.113281,0.683105,0.006348,-0.427246,-2.746582,-3.417969
1487805173.19664,1487805173.19894,-0.080078,0.65625,-0.046875,-2.258301,-2.380371,-3.723145
1487805173.19900,1487805173.20129,-0.066406,0.692383,0.058105,-2.685547,-3.356934,-3.540039
1487805173.20135,1487805173.20364,-0.055664,0.6875,0.056152,-1.525879,-3.601074,-2.502441
1487805173.20370,1487805173.20601,-0.069336,0.676758,-0.014648,-2.502441,-3.173828,-2.990723
1487805173.20607,1487805173.20837,-0.081055,0.693359,0.035156,-2.990723,-2.380371,-3.234863
1487805173.20843,1487805173.21072,-0.131836,0.680664,0.022949,-1.220703,-2.441406,-3.295898
1487805173.21078,1487805173.21308,-0.076172,0.708984,0.013184,-0.488281,-2.380371,-2.746582
1487805173.21314,1487805173.21543,-0.081055,0.703125,0.056152,-2.13623,-1.831055,-2.746582
1487805173.21549,1487805173.21846,-0.086426,0.69873,0.007324,-2.075195,-2.502441,-2.502441
1487805173.21852,1487805173.22082,-0.077637,0.686523,0.080078,-2.319336,-2.319336,-3.356934
1487805173.22088,1487805173.22317,-0.085449,0.686523,0.075195,-1.098633,-2.868652,-3.051758
1487805173.22323,1487805173.22552,-0.092773,0.683105,-0.080566,-1.281738,-2.380371,-2.929688
1487805173.22558,1487805173.22789,-0.111328,0.686523,0.03418,-1.89209,-2.319336,-2.624512
1487805173.22795,1487805173.23024,-0.092773,0.683105,-0.025391,-0.671387,-2.502441,-2.563477
1487805173.23030,1487805173.23259,-0.144043,0.694336,0.103516,-2.197266,-2.807617,-2.380371
1487805173.23266,1487805173.23495,-0.066406,0.685547,0.005371,-1.220703,-1.953125,-2.563477
1487805173.23501,1487805173.23740,-0.098633,0.674805,0.044434,-0.610352,-2.624512,-2.563477
1487805173.23747,1487805173.23988,-0.071289,0.683594,-0.028809,-2.197266,-2.868652,-3.051758
