timestamp_before, timestamp_After, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1487804788.80126,1487804788.80963,-0.062988,0.654297,-0.022949,-0.305176,-2.502441,-4.211426
1487804788.80977,1487804788.81220,-0.050293,0.678711,0.09082,0,-1.77002,-4.211426
1487804788.81227,1487804788.81456,-0.084473,0.686523,0.12207,-1.831055,-1.098633,-4.638672
1487804788.81462,1487804788.81694,-0.083496,0.682617,0.000977,-0.610352,-2.319336,-3.845215
1487804788.81701,1487804788.81930,-0.075684,0.696777,0.058594,-1.77002,-1.708984,-3.723145
1487804788.81936,1487804788.82231,-0.060059,0.690918,-0.057129,-2.380371,-2.01416,-3.90625
1487804788.82237,1487804788.82742,-0.075684,0.685059,0.117676,-1.953125,-2.319336,-4.821777
1487804788.82749,1487804788.82978,-0.099121,0.695312,0.023926,-1.098633,-2.13623,-4.943848
1487804788.82984,1487804788.83213,-0.103027,0.688965,-0.022461,-1.159668,-2.868652,-3.90625
1487804788.83219,1487804788.83448,-0.099121,0.679688,0.070801,-1.342773,-2.563477,-3.723145
1487804788.83454,1487804788.83688,-0.06543,0.678711,0.01416,-1.953125,-2.13623,-4.577637
1487804788.83694,1487804788.83923,-0.058105,0.692871,0.026367,-1.403809,-2.563477,-4.455566
1487804788.83929,1487804788.84158,-0.029297,0.679199,0.028809,-1.708984,-2.746582,-4.699707
1487804788.84164,1487804788.84462,-0.095215,0.688965,0.032715,-1.89209,-3.295898,-4.272461
1487804788.84468,1487804788.84707,-0.078125,0.683105,0.001465,-1.220703,-2.319336,-3.723145
1487804788.84713,1487804788.84943,-0.09082,0.691406,0.016113,-2.319336,-2.685547,-3.356934
1487804788.84949,1487804788.85178,-0.104492,0.672852,0.026855,-1.953125,-2.197266,-3.479004
1487804788.85184,1487804788.85413,-0.071289,0.674805,0.006348,-1.464844,-2.01416,-3.967285
1487804788.85419,1487804788.85654,-0.108887,0.693359,0.019043,-2.807617,-1.831055,-4.02832
1487804788.85660,1487804788.85889,-0.039062,0.677734,0.006348,-1.220703,-2.01416,-3.90625
1487804788.85895,1487804788.86133,-0.086426,0.6875,0.013184,-0.854492,-2.075195,-4.333496
