<<<<<<< HEAD
S_i,S_t,S_x,S_i,S_t,S_min,period
1747,        0.0000000000,0.737300,1738,        0.0000000000,-2.802200
2138,        0.0000000000,0.025400,2113,        0.0000000000,-2.655800
2511,        0.0000000000,0.856900,2235,        0.0000000000,-2.636700
2884,        0.0000000000,0.675300,2665,        0.0000000000,-2.623500
3258,        0.0000000000,0.643100,3234,        0.0000000000,-2.606000
3624,        0.0000000000,0.539100,3355,        0.0000000000,-2.533700
4355,        0.0000000000,0.864700,4095,        0.0000000000,-2.789600
4729,        0.0000000000,0.586400,4461,        0.0000000000,-2.622600
5093,        0.0000000000,1.229000,4825,        0.0000000000,-2.555200
5450,        0.0000000000,0.930700,5190,        0.0000000000,-2.520000
5816,        0.0000000000,0.940400,5808,        0.0000000000,-2.383300
6183,        0.0000000000,0.197300,5914,        0.0000000000,-2.988300
6550,        0.0000000000,0.760700,6289,        0.0000000000,-2.755900
6915,        0.0000000000,1.203100,6647,        0.0000000000,-2.460000
7281,        0.0000000000,0.510700,7013,        0.0000000000,-2.569800
=======
P_i,P_t,P_x,T_i,T_t,T_p
2255,5348529233339613184.0000000000,0.710938,2242,5277463398789939200.0000000000,-1.645996
3038,10290654779797405696.0000000000,0.648926,3027,10163903079347388416.0000000000,-1.804688
3752,18376208203764465664.0000000000,0.634277,3741,18255842466848571392.0000000000,-1.550293
4480,34807024096225787904.0000000000,0.898438,4467,34519761290306519040.0000000000,-2.394043
5166,63914738465967702016.0000000000,0.613281,5156,63475888190950211584.0000000000,-1.503418
5874,118033892655706931200.0000000000,0.606934,5862,116986858518901424128.0000000000,-1.339355
6588,217349136410201817088.0000000000,0.712402,6577,215426978978616836096.0000000000,-1.604492
7256,380911219520764379136.0000000000,0.458008,7244,376698031700615102464.0000000000,-1.306152
7952,675060803326468685824.0000000000,1.024902,7942,667475545285325750272.0000000000,-2.000488
8608,1148095897606119489536.0000000000,0.774902,8597,1140392490443502256128.0000000000,-1.900391
9262,2056679108029607575552.0000000000,1.031250,9251,2040980122678547447808.0000000000,-2.128418
9938,3705959779017512976384.0000000000,1.184082,9925,3669638810972723347456.0000000000,-2.219727
,,,10627,6679776122012845473792.0000000000,-1.426758
>>>>>>> 3f99c6f92168d4466b529272790e5c690d305ba5
