timestamp_before, timestamp_After, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1487804583.28003,1487804583.29014,-0.084961,0.677734,0.081055,-1.220703,-1.037598,-2.685547
1487804583.29028,1487804583.29257,-0.054199,0.708984,0.018555,-0.854492,-1.525879,-2.563477
1487804583.29264,1487804583.29493,-0.077637,0.689453,0.010742,-0.671387,-1.281738,-2.868652
1487804583.29499,1487804583.29750,-0.070312,0.69873,-0.026367,-1.525879,-1.159668,-3.112793
1487804583.29756,1487804583.29986,-0.055664,0.700684,0.034668,-1.098633,-1.098633,-2.929688
1487804583.29992,1487804583.30246,-0.118164,0.682617,0.012695,-0.610352,-1.159668,-4.272461
1487804583.30252,1487804583.30481,-0.075684,0.685547,-0.04248,-2.380371,-1.647949,-4.394531
1487804583.30487,1487804583.30717,-0.097168,0.675781,0.055176,-2.258301,-1.159668,-2.685547
1487804583.30723,1487804583.30971,-0.098633,0.679199,-0.088379,-1.037598,-1.464844,-2.990723
1487804583.30978,1487804583.31214,-0.069336,0.708496,0.047852,-0.610352,-1.464844,-4.02832
1487804583.31220,1487804583.31450,-0.106445,0.687012,0.024414,-1.647949,-1.098633,-2.929688
1487804583.31456,1487804583.31693,-0.110352,0.680664,-0.015137,-0.793457,-0.793457,-3.723145
1487804583.31699,1487804583.31929,-0.088379,0.694336,0.04248,-1.77002,-1.831055,-3.540039
1487804583.31935,1487804583.32164,-0.088867,0.690918,-0.007812,-2.075195,-1.037598,-3.173828
1487804583.32170,1487804583.32399,-0.087402,0.700684,0.03418,-1.831055,-0.793457,-2.990723
1487804583.32406,1487804583.32805,-0.083008,0.679199,0.003418,-3.540039,-0.671387,-3.234863
1487804583.32811,1487804583.33041,-0.076172,0.69873,0.01416,-0.549316,-0.671387,-2.746582
1487804583.33047,1487804583.33311,-0.055176,0.680664,0.030273,-1.647949,-0.244141,-2.13623
1487804583.33317,1487804583.33546,-0.104492,0.68457,0.031738,-2.624512,-0.183105,-3.112793
1487804583.33552,1487804583.33786,-0.070312,0.666504,0.000488,-1.098633,-0.732422,-3.051758
1487804583.33792,1487804583.34021,-0.120117,0.675781,-0.080566,-0.305176,-0.305176,-2.807617
1487804583.34027,1487804583.34257,-0.112793,0.685059,0.04248,-2.258301,-0.427246,-3.051758
1487804583.34263,1487804583.34492,-0.108887,0.678711,-0.030762,-0.488281,-0.976562,-2.685547
1487804583.34498,1487804583.34731,-0.125488,0.6875,-0.033203,-0.854492,-0.488281,-3.295898
1487804583.34737,1487804583.34966,-0.053711,0.692871,0.005371,-2.624512,-0.976562,-2.441406
1487804583.34973,1487804583.35202,-0.086426,0.683105,-0.02832,-1.708984,-1.464844,-3.234863
1487804583.35208,1487804583.35438,-0.049316,0.703125,0.110352,-0.915527,-0.793457,-2.990723
1487804583.35444,1487804583.35708,-0.111328,0.691406,0.000488,-1.281738,-1.037598,-3.479004
1487804583.35714,1487804583.35944,-0.085449,0.688965,0.025879,-2.197266,-0.793457,-3.479004
1487804583.35950,1487804583.36179,-0.088867,0.696777,0.022949,-1.525879,-0.549316,-3.662109
1487804583.36185,1487804583.36415,-0.091309,0.697754,-0.005859,-0.061035,-0.976562,-3.234863
1487804583.36421,1487804583.36655,-0.102539,0.681641,0.001465,0.12207,-1.037598,-2.441406
1487804583.36661,1487804583.36891,-0.085449,0.688965,-0.041504,-0.12207,-1.403809,-3.112793
1487804583.36897,1487804583.37126,-0.003418,0.673828,0.036621,-1.831055,-0.854492,-2.746582
1487804583.37132,1487804583.37362,-0.091309,0.705566,0.098145,-0.488281,-0.915527,-2.746582
1487804583.37368,1487804583.37599,-0.050781,0.688965,0.039062,-2.197266,-0.366211,-2.685547
1487804583.37605,1487804583.37834,-0.060547,0.696777,-0.02832,-2.075195,-15.625,-2.624512
1487804583.37841,1487804583.38070,-0.080078,0.705566,0.029297,-1.281738,-1.098633,-2.868652
1487804583.38076,1487804583.38306,-0.110352,0.677734,0.000488,-1.098633,-0.549316,-2.685547
1487804583.38312,1487804583.38541,-0.094238,0.681152,0.010742,-1.586914,-0.976562,-3.234863
1487804583.38562,1487804583.38803,-0.063477,0.679199,-0.01709,-2.319336,-1.464844,-3.173828
1487804583.38809,1487804583.39039,-0.069336,0.690918,0.022461,-1.831055,-0.915527,-3.051758
1487804583.39045,1487804583.39275,-0.101074,0.689453,0.120605,-2.075195,-0.915527,-3.173828
1487804583.39281,1487804583.39510,-0.081543,0.700684,-0.012207,-0.915527,-0.549316,-2.13623
1487804583.39517,1487804583.39752,-0.098633,0.691406,0.018555,-0.976562,-1.342773,-3.051758
1487804583.39758,1487804583.39988,-0.058105,0.700684,-0.097656,-1.953125,-1.098633,-3.295898
1487804583.39994,1487804583.40224,-0.095215,0.687988,-0.005371,-1.953125,-0.854492,-3.540039
1487804583.40230,1487804583.40460,-0.070312,0.694824,-0.004395,-2.563477,-0.793457,-2.868652
1487804583.40466,1487804583.40705,-0.088379,0.702637,0.086426,-1.831055,-1.159668,-3.051758
1487804583.40711,1487804583.40941,-0.071289,0.692871,-0.086426,-1.525879,-1.220703,-3.417969
1487804583.40947,1487804583.41177,-0.095215,0.681152,-0.019531,-1.159668,-1.342773,-2.868652
1487804583.41183,1487804583.41412,-0.058594,0.695312,-0.026855,-0.610352,-1.281738,-2.746582
1487804583.41418,1487804583.41668,-0.09082,0.688965,0.12207,-2.319336,-0.305176,-3.540039
1487804583.41674,1487804583.41921,-0.086426,0.677734,-0.099121,-1.77002,-0.610352,-3.051758
1487804583.41927,1487804583.42157,-0.094727,0.679199,-0.08252,-1.342773,-0.976562,-2.746582
1487804583.42164,1487804583.42393,-0.210449,0.695801,-0.020996,-0.427246,-0.976562,-2.746582
1487804583.42400,1487804583.42648,-0.074219,0.666504,0.061523,-0.610352,-0.793457,-2.746582
1487804583.42654,1487804583.42883,-0.095215,0.679688,0.012695,-1.586914,-0.305176,-3.540039
1487804583.42890,1487804583.43119,-0.063477,0.693359,-0.063477,-3.295898,-1.89209,-2.441406
1487804583.43125,1487804583.43413,-0.087402,0.681641,0.008789,-2.13623,-1.159668,-2.624512
1487804583.43419,1487804583.43656,-0.087402,0.705566,0.003418,-0.610352,-1.098633,-2.685547
1487804583.43662,1487804583.43891,-0.068359,0.692383,0.022949,-0.549316,-1.098633,-3.112793
1487804583.43897,1487804583.44126,-0.115234,0.696777,0.009277,-1.77002,-1.708984,-2.868652
1487804583.44132,1487804583.44361,-0.086914,0.700195,0.018066,-2.868652,-1.159668,-2.807617
1487804583.44367,1487804583.44598,-0.115234,0.670898,0.122559,-2.197266,-1.831055,-2.929688
1487804583.44604,1487804583.44833,-0.075684,0.688965,-0.019043,-1.037598,-1.647949,-3.051758
1487804583.44839,1487804583.45068,-0.061523,0.680664,0.024414,-0.549316,-1.220703,-3.295898
1487804583.45074,1487804583.45303,-0.07373,0.685547,0.01416,-1.342773,-1.464844,-2.746582
1487804583.45309,1487804583.45539,-0.097656,0.690918,0.02832,-1.953125,-1.647949,-2.380371
1487804583.45545,1487804583.45775,-0.072754,0.708984,-0.017578,-2.502441,-1.281738,-2.807617
1487804583.45781,1487804583.46010,-0.12793,0.681152,0.083496,-2.319336,-1.098633,-3.479004
1487804583.46016,1487804583.46246,-0.058594,0.700195,0.025879,-1.586914,-0.854492,-3.479004
1487804583.46252,1487804583.46481,-0.066406,0.675293,0.022461,-0.12207,-1.281738,-2.807617
1487804583.46487,1487804583.46717,-0.077637,0.685059,-0.060059,-0.305176,-2.380371,-2.563477
1487804583.46723,1487804583.46953,-0.126465,0.673828,0.019043,-0.732422,-1.708984,-2.563477
1487804583.46959,1487804583.47188,-0.111328,0.697754,-0.010742,-2.197266,-1.647949,-2.563477
1487804583.47194,1487804583.47423,-0.109375,0.668457,0.086914,-3.723145,-1.403809,-2.502441
1487804583.47430,1487804583.47667,-0.053711,0.68457,0.030273,-3.234863,-1.525879,-2.502441
1487804583.47673,1487804583.47903,-0.069824,0.697266,0.022461,-2.197266,-1.525879,-2.807617
1487804583.47909,1487804583.48138,-0.078125,0.688965,0.004883,-1.708984,-1.647949,-2.929688
1487804583.48155,1487804583.48384,-0.086426,0.674805,0.047852,-1.220703,-0.305176,-2.624512
1487804583.48391,1487804583.48632,-0.109375,0.692871,-0.013672,-1.220703,-0.732422,-2.441406
1487804583.48639,1487804583.48955,-0.077637,0.686523,-0.084473,-0.976562,-1.281738,-2.01416
1487804583.48962,1487804583.49269,-0.122559,0.694336,-0.062012,-1.342773,-0.915527,-2.13623
1487804583.49276,1487804583.49519,-0.094727,0.657715,0.012695,-1.831055,-0.610352,-2.441406
1487804583.49525,1487804583.49767,-0.058105,0.687988,-0.022949,-1.159668,-1.281738,-2.01416
1487804583.49773,1487804583.50016,-0.055664,0.677246,-0.010742,-1.464844,-1.586914,-1.77002
1487804583.50022,1487804583.50264,-0.109375,0.697266,0.044434,-1.831055,-1.89209,-1.77002
1487804583.50270,1487804583.50512,-0.053223,0.700195,-0.11084,-1.831055,-2.13623,-2.502441
1487804583.50518,1487804583.50761,-0.103027,0.676758,-0.084473,-1.220703,-1.525879,-2.746582
1487804583.50767,1487804583.51009,-0.07959,0.691406,0.083984,-1.098633,-1.403809,-2.807617
1487804583.51015,1487804583.51258,-0.060547,0.662109,0.067383,-1.281738,-0.732422,-2.990723
1487804583.51264,1487804583.51507,-0.085449,0.705078,-0.034668,-0.610352,-0.427246,-2.563477
1487804583.51513,1487804583.51756,-0.095215,0.687988,-0.022949,-0.12207,-0.671387,-2.197266
1487804583.51762,1487804583.52004,-0.081055,0.669922,0.06543,0.244141,-0.976562,-2.258301
1487804583.52010,1487804583.52252,-0.053711,0.695801,-0.057617,-0.366211,-1.037598,-2.13623
1487804583.52259,1487804583.52498,-0.085449,0.656738,0.024902,-1.403809,-0.610352,-2.502441
1487804583.52504,1487804583.52755,-0.068359,0.678711,-0.085938,-0.793457,-1.342773,-2.746582
1487804583.52761,1487804583.52999,-0.085449,0.685059,-0.066895,-0.610352,-1.342773,-2.807617
1487804583.53005,1487804583.53296,-0.086914,0.687012,-0.03125,15.258789,-0.366211,-1.831055
1487804583.53303,1487804583.53532,-0.060059,0.720215,0.021973,-0.732422,0.671387,-2.319336
1487804583.53538,1487804583.53773,-0.068359,0.700195,-0.055664,-1.708984,0.183105,-2.563477
1487804583.53780,1487804583.54009,-0.083008,0.681641,-0.024414,-2.258301,-0.12207,-2.197266
1487804583.54016,1487804583.54245,-0.078125,0.702637,0.064941,-1.525879,-0.793457,-2.258301
1487804583.54251,1487804583.54480,-0.10498,0.68457,-0.097656,-2.502441,-0.488281,-2.319336
1487804583.54486,1487804583.54717,-0.05957,0.701172,0.038574,-1.708984,-1.342773,-2.075195
1487804583.54723,1487804583.54953,-0.074219,0.685059,-0.006836,-2.868652,-1.037598,-1.89209
1487804583.54959,1487804583.55188,-0.067383,0.676758,0.01416,-2.258301,-0.671387,-2.441406
1487804583.55194,1487804583.55424,-0.079102,0.676758,0.022949,-1.831055,-1.342773,-3.479004
1487804583.55430,1487804583.55660,-0.104492,0.669922,0.012207,-1.831055,-0.732422,-2.624512
1487804583.55666,1487804583.55896,-0.077637,0.689453,-0.017578,-0.793457,-1.220703,-2.502441
1487804583.55902,1487804583.56131,-0.071777,0.682617,0.002441,-0.488281,-1.525879,-3.234863
1487804583.56137,1487804583.56367,-0.106445,0.689453,0.003418,-0.854492,-1.403809,-2.746582
1487804583.56373,1487804583.56603,-0.086426,0.695801,0.030762,-2.197266,-0.488281,-2.197266
1487804583.56610,1487804583.56839,-0.102539,0.671387,-0.118652,-2.868652,-0.976562,-2.868652
1487804583.56845,1487804583.57074,-0.07373,0.689453,0.018066,-2.258301,-1.159668,-2.258301
1487804583.57080,1487804583.57311,-0.101074,0.701172,0.00293,-1.708984,-0.976562,-2.258301
1487804583.57317,1487804583.57546,-0.077148,0.671875,-0.092285,-1.953125,-1.037598,-2.258301
1487804583.57552,1487804583.57798,-0.071289,0.671387,0.116211,-2.868652,0.427246,-2.563477
1487804583.57804,1487804583.58034,-0.084961,0.69043,0.026367,-1.89209,-0.976562,-2.380371
1487804583.58040,1487804583.58270,-0.086914,0.692871,0.05957,-0.915527,-1.281738,-2.929688
1487804583.58287,1487804583.58517,-0.09668,0.680664,-0.092773,-1.037598,-1.403809,-2.380371
1487804583.58523,1487804583.58773,-0.064941,0.677246,0.109863,-0.366211,-0.732422,-3.112793
1487804583.58779,1487804583.59022,-0.069336,0.675293,0.072754,-1.281738,-0.671387,-2.685547
1487804583.59028,1487804583.59271,-0.084473,0.69043,0.04248,-1.953125,-0.244141,-2.929688
1487804583.59277,1487804583.59520,-0.083008,0.678711,0.009277,-2.01416,-0.671387,-2.929688
1487804583.59526,1487804583.59759,-0.089844,0.676758,0.019531,-2.075195,-1.098633,-2.990723
1487804583.59765,1487804583.59995,-0.114746,0.673828,0.06543,-1.953125,-0.915527,-3.173828
1487804583.60001,1487804583.60231,-0.069336,0.65625,-0.057129,-2.13623,-0.854492,-2.868652
1487804583.60237,1487804583.60468,-0.120117,0.687012,-0.009277,-1.831055,-0.976562,-2.990723
1487804583.60474,1487804583.60709,-0.079102,0.692383,-0.03125,-1.586914,-2.197266,-2.502441
1487804583.60715,1487804583.60945,-0.10498,0.672852,0.083496,-1.403809,-1.037598,-2.685547
1487804583.60951,1487804583.61181,-0.067871,0.69873,0.01123,-1.77002,-0.976562,-3.540039
1487804583.61187,1487804583.61416,-0.080078,0.673828,0.032715,-0.610352,-0.610352,-3.173828
1487804583.61422,1487804583.61658,-0.060059,0.686523,0.021973,-0.976562,-0.183105,-3.112793
1487804583.61664,1487804583.61903,-0.127441,0.683105,-0.064453,-1.586914,0.366211,-3.479004
1487804583.61909,1487804583.62139,-0.069824,0.690918,-0.022949,-2.563477,1.525879,-4.089355
1487804583.62145,1487804583.62374,-0.085449,0.65625,0.023926,-1.831055,1.647949,-4.333496
1487804583.62380,1487804583.62630,-0.055176,0.700684,0,-2.258301,2.563477,-3.417969
1487804583.62636,1487804583.62866,-0.043457,0.664062,0.018555,-1.953125,2.502441,-3.662109
1487804583.62872,1487804583.63100,-0.057617,0.692871,0.031738,-4.272461,2.807617,-3.845215
1487804583.63107,1487804583.63367,-0.079102,0.685059,0.007324,-2.380371,3.90625,-4.333496
1487804583.63373,1487804583.63604,-0.084961,0.688965,0.04834,-1.77002,4.516602,-4.272461
1487804583.63610,1487804583.63839,-0.057129,0.693359,0.039062,-3.173828,3.295898,-4.638672
1487804583.63845,1487804583.64074,-0.134277,0.6875,0.038086,-2.319336,3.479004,-4.516602
1487804583.64080,1487804583.64310,-0.103027,0.690918,-0.025391,-1.89209,3.78418,-4.150391
